id	category	domain	seconds	trim_start	provider	creator	license	license_url	source_page	download_url
beirut_market	Lebanese market crowd and traffic	busy_city	20	10	Freesound via Openverse	kyles	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	https://freesound.org/people/kyles/sounds/451453	https://cdn.freesound.org/previews/451/451453_612689-hq.mp3
amsterdam_night	Amsterdam streets at night	busy_city	22	120	Freesound via Openverse	Gniffelbaf	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	https://freesound.org/people/Gniffelbaf/sounds/76377	https://cdn.freesound.org/previews/76/76377_303507-hq.mp3
london_oxford_street	London Oxford Street	busy_city	24	20	Freesound via Openverse	blaukreuz	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	https://freesound.org/people/blaukreuz/sounds/252698	https://cdn.freesound.org/previews/252/252698_623488-hq.mp3
san_francisco_street	San Francisco street sounds	busy_city	26	60	Freesound via Openverse	mhtaylor67	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	https://freesound.org/people/mhtaylor67/sounds/238718	https://cdn.freesound.org/previews/238/238718_2258946-hq.mp3
toronto_yonge_street	Toronto Yonge Street	busy_city	28	10	Freesound via Openverse	iliyabylich04	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	https://freesound.org/people/iliyabylich04/sounds/651338	https://cdn.freesound.org/previews/651/651338_14128260-hq.mp3
chennai_traffic	Chennai traffic ambience	busy_city	30	10	Freesound via Openverse	JollityFarm	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	https://freesound.org/people/JollityFarm/sounds/218169	https://cdn.freesound.org/previews/218/218169_745129-hq.mp3
busy_city_ambience	Busy city ambience	busy_city	32	15	Freesound via Openverse	craigsmith	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	https://freesound.org/people/craigsmith/sounds/486185	https://cdn.freesound.org/previews/486/486185_2524442-hq.mp3
tourists_downtown	Downtown tourist crowd	busy_city	34	10	Freesound via Openverse	schafferdavid	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	https://freesound.org/people/schafferdavid/sounds/212588	https://cdn.freesound.org/previews/212/212588_98337-hq.mp3
vienna_stefansplatz	Vienna Stefansplatz crowd	busy_city	38	30	Freesound via Openverse	blaukreuz	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	https://freesound.org/people/blaukreuz/sounds/252708	https://cdn.freesound.org/previews/252/252708_623488-hq.mp3
dubrovnik_street	Dubrovnik street	busy_city	40	20	Freesound via Openverse	blaukreuz	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	https://freesound.org/people/blaukreuz/sounds/249762	https://cdn.freesound.org/previews/249/249762_623488-hq.mp3
