id	category	domain	seconds	trim_start	provider	creator	license	license_url	source_page	download_url
industry_workshop	powder-coating workshop machinery	industrial	1	0	BigSoundBank	Joseph Sardin	CC0	https://bigsoundbank.com/licenses.html	https://bigsoundbank.com/industry-workshop-s0503.html	https://bigsoundbank.com/UPLOAD/mp3/0503.mp3
technical_room	industrial pumps and extractor room	industrial	2	1	BigSoundBank	Joseph Sardin	CC0	https://bigsoundbank.com/licenses.html	https://bigsoundbank.com/technical-room-of-an-industry-s0504.html	https://bigsoundbank.com/UPLOAD/mp3/0504.mp3
noisy_office_industry	working industrial office	industrial	3	1	BigSoundBank	Joseph Sardin	CC0	https://bigsoundbank.com/licenses.html	https://bigsoundbank.com/noisy-office-industry-s0502.html	https://bigsoundbank.com/UPLOAD/mp3/0502.mp3
metallurgical_factory	metallurgical factory machinery	industrial	4	2	BigSoundBank	Joseph Sardin	CC0	https://bigsoundbank.com/licenses.html	https://bigsoundbank.com/metallurgical-factory-s0749.html	https://bigsoundbank.com/UPLOAD/mp3/0749.mp3
sawmill_one	sawmill cutting floor	industrial	5	4	BigSoundBank	Joseph Sardin	CC0	https://bigsoundbank.com/licenses.html	https://bigsoundbank.com/sawmill-1-s1536.html	https://bigsoundbank.com/UPLOAD/mp3/1536.mp3
sawmill_two	sawmill machinery hall	industrial	5	8	BigSoundBank	Joseph Sardin	CC0	https://bigsoundbank.com/licenses.html	https://bigsoundbank.com/sawmill-2-s1537.html	https://bigsoundbank.com/UPLOAD/mp3/1537.mp3
distant_train	train ambience	industrial	5	10	Freesound via Openverse	MFJ0	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	https://freesound.org/people/MFJ0/sounds/638928	https://cdn.freesound.org/previews/638/638928_13178666-hq.mp3
morning_birds	chirping birds	natural	5	10	Freesound via Openverse	freelibras	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	https://freesound.org/people/freelibras/sounds/327445	https://cdn.freesound.org/previews/327/327445_4028726-hq.mp3
campfire	campfire ambience	natural	6	10	Freesound via Openverse	SKrafft	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	https://freesound.org/people/SKrafft/sounds/681366	https://cdn.freesound.org/previews/681/681366_5752443-hq.mp3
cathedral_room	quiet cathedral room tone	architectural	7	10	Freesound via Openverse	ecfike	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	https://freesound.org/people/ecfike/sounds/128245	https://cdn.freesound.org/previews/128/128245_2337290-hq.mp3
vienna_tram	tram and street traffic	industrial	8	1	Freesound via Openverse	freesoundjon01	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	https://freesound.org/people/freesoundjon01/sounds/323054	https://cdn.freesound.org/previews/323/323054_2814925-hq.mp3
children_park	children playing in a park	human	9	10	Freesound via Openverse	tamark27	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	https://freesound.org/people/tamark27/sounds/537082	https://cdn.freesound.org/previews/537/537082_10613827-hq.mp3
construction	construction machinery	industrial	10	1	Freesound via Openverse	kyles	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	https://freesound.org/people/kyles/sounds/451344	https://cdn.freesound.org/previews/451/451344_612689-hq.mp3
airplane_vortex	airplane flyover and wingtip vortex	industrial	12	1	Freesound via Openverse	tubbers	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	https://freesound.org/people/tubbers/sounds/211870	https://cdn.freesound.org/previews/211/211870_2454147-hq.mp3
metro_platform	metro platform and trains	industrial	14	10	Freesound via Openverse	Alcappuccino	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	https://freesound.org/people/Alcappuccino/sounds/320460	https://cdn.freesound.org/previews/320/320460_4536481-hq.mp3
singing_tree	wind through a resonant sculpture	sculptural	9	10	Freesound via Openverse	giddster	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	https://freesound.org/people/giddster/sounds/437337	https://cdn.freesound.org/previews/437/437337_1738686-hq.mp3
lagos_market	Lagos market soundscape	human	18	10	Freesound via Openverse	kyles	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	https://freesound.org/people/kyles/sounds/406311	https://cdn.freesound.org/previews/406/406311_612689-hq.mp3
forest_ambience	forest birds and insects	natural	20	4	BigSoundBank	Joseph Sardin	CC0	https://bigsoundbank.com/licenses.html	https://bigsoundbank.com/forest-s0100.html	https://bigsoundbank.com/UPLOAD/mp3/0100.mp3
waterfall	mini waterfall field recording	natural	22	2	BigSoundBank	Joseph Sardin	CC0	https://bigsoundbank.com/licenses.html	https://bigsoundbank.com/mini-waterfall-s0996.html	https://bigsoundbank.com/UPLOAD/mp3/0996.mp3
paris_night	Paris night city ambience	urban	24	3	BigSoundBank	Joseph Sardin	CC0	https://bigsoundbank.com/licenses.html	https://bigsoundbank.com/paris-by-night-s0680.html	https://bigsoundbank.com/UPLOAD/mp3/0680.mp3
nasa_walkout	Artemis crew walkout ambience	aerospace	26	10	Freesound via Openverse	unfa	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	https://freesound.org/people/unfa/sounds/211146	https://cdn.freesound.org/previews/211/211146_1038806-hq.mp3
nasa_liftoff	Artemis liftoff ambience	industrial	28	10	Freesound via Openverse	felix.blume	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	https://freesound.org/people/felix.blume/sounds/613855	https://cdn.freesound.org/previews/613/613855_1661766-hq.mp3
nasa_splashdown	Artemis splashdown ambience	aerospace	30	10	Freesound via Openverse	DylanTheFish	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	https://freesound.org/people/DylanTheFish/sounds/463250	https://cdn.freesound.org/previews/463/463250_7482766-hq.mp3
