id	category	domain	seconds	trim_start	provider	creator	license	license_url	source_page	download_url
ocean_breakwater	Breakwater crushing waves	ocean_surf	20	10	Freesound via Openverse	trubalesk	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	https://freesound.org/people/trubalesk/sounds/651234	https://cdn.freesound.org/previews/651/651234_14238989-hq.mp3
ocean_rocks	Surf on rocks	ocean_surf	52	10	Freesound via Openverse	Yoyodaman234	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	https://freesound.org/people/Yoyodaman234/sounds/331224	https://cdn.freesound.org/previews/331/331224_2792951-hq.mp3
gull_river_rapids	Gull River rapids	river_rapids	22	10	Freesound via Openverse	nicoproson	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	https://freesound.org/people/nicoproson/sounds/642774	https://cdn.freesound.org/previews/642/642774_457982-hq.mp3
drava_river_rapids	River Drava rapids	river_rapids	54	10	Freesound via Openverse	Walking.With.Microphones	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	https://freesound.org/people/Walking.With.Microphones/sounds/556041	https://cdn.freesound.org/previews/556/556041_4835746-hq.mp3
ice_fracture	Ice fracture and roots	ice_cracking	18	5	Freesound via Openverse	Vrymaa	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	https://freesound.org/people/Vrymaa/sounds/735401	https://cdn.freesound.org/previews/735/735401_13973196-hq.mp3
shoreline_ice	Shoreline ice movement	ice_cracking	48	100	Freesound via Openverse	toban	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	https://freesound.org/people/toban/sounds/613572	https://cdn.freesound.org/previews/613/613572_3016740-hq.mp3
creaky_dock_hydrophone	Creaky dock hydrophone	underwater_hydrophone	24	10	Freesound via Openverse	LloydEvans09	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	https://freesound.org/people/LloydEvans09/sounds/185816	https://cdn.freesound.org/previews/185/185816_2567799-hq.mp3
amazonian_dolphins	Amazonian dolphin hydrophone	underwater_hydrophone	50	60	Freesound via Openverse	felix.blume	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	https://freesound.org/people/felix.blume/sounds/408555	https://cdn.freesound.org/previews/408/408555_1661766-hq.mp3
wood_firestove	Wood firestove	campfire	20	50	Freesound via Openverse	uniuniversal	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	https://freesound.org/people/uniuniversal/sounds/620007	https://cdn.freesound.org/previews/620/620007_13601611-hq.mp3
fireplace_burning	Indoor fireplace burning	campfire	52	40	Freesound via Openverse	BonnyOrbit	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	https://freesound.org/people/BonnyOrbit/sounds/484337	https://cdn.freesound.org/previews/484/484337_5902878-hq.mp3
inside_beehive	Inside a beehive	beehive	26	3	Freesound via Openverse	pillonoise	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	https://freesound.org/people/pillonoise/sounds/353199	https://cdn.freesound.org/previews/353/353199_2120176-hq.mp3
bee_colony	Bee colony swarm	beehive	54	10	Freesound via Openverse	bruno.auzet	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	https://freesound.org/people/bruno.auzet/sounds/578263	https://cdn.freesound.org/previews/578/578263_11519060-hq.mp3
horse_barn_eating	Horse eating and breathing	farm_barn	22	10	Freesound via Openverse	TRP	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	https://freesound.org/people/TRP/sounds/574094	https://cdn.freesound.org/previews/574/574094_97550-hq.mp3
cows_in_barn	Cows inside a barn	farm_barn	56	10	Freesound via Openverse	bruno.auzet	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	https://freesound.org/people/bruno.auzet/sounds/660694	https://cdn.freesound.org/previews/660/660694_11519060-hq.mp3
airport_terminal	Airport terminal ambience	airport_terminal	24	10	Freesound via Openverse	wesleywestmusic	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	https://freesound.org/people/wesleywestmusic/sounds/680664	https://cdn.freesound.org/previews/680/680664_14164674-hq.mp3
kuala_lumpur_airport	Kuala Lumpur airport terminal	airport_terminal	58	100	Freesound via Openverse	gladkiy	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	https://freesound.org/people/gladkiy/sounds/333226	https://cdn.freesound.org/previews/333/333226_2364707-hq.mp3
medium_ferry_belowdeck	Medium ferry below deck	ferry_interior	22	5	Freesound via Openverse	blaukreuz	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	https://freesound.org/people/blaukreuz/sounds/398850	https://cdn.freesound.org/previews/398/398850_623488-hq.mp3
small_ferry_hold	Small ferry hold	ferry_interior	50	60	Freesound via Openverse	blaukreuz	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	https://freesound.org/people/blaukreuz/sounds/397903	https://cdn.freesound.org/previews/397/397903_623488-hq.mp3
harbor_ambience	Harbor ambience close view	harbor_marina	18	4	Freesound via Openverse	cliftonmcarlson	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	https://freesound.org/people/cliftonmcarlson/sounds/254130	https://cdn.freesound.org/previews/254/254130_3530854-hq.mp3
river_marina	River marina ambience	harbor_marina	52	10	Freesound via Openverse	mrrap4food	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	https://freesound.org/people/mrrap4food/sounds/619058	https://cdn.freesound.org/previews/619/619058_781461-hq.mp3
kitchen_washing_dishes	Restaurant kitchen washing dishes	restaurant_kitchen	28	10	Freesound via Openverse	kyles	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	https://freesound.org/people/kyles/sounds/454406	https://cdn.freesound.org/previews/454/454406_612689-hq.mp3
kitchenware_sorting	Restaurant kitchenware sorting	restaurant_kitchen	40	10	Freesound via Openverse	cpark12	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	https://freesound.org/people/cpark12/sounds/347309	https://cdn.freesound.org/previews/347/347309_4029822-hq.mp3
school_cafeteria	School cafeteria ambience	school_cafeteria	24	10	Freesound via Openverse	steeltowngaming	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	https://freesound.org/people/steeltowngaming/sounds/537761	https://cdn.freesound.org/previews/537/537761_11976230-hq.mp3
high_school_canteen	High-school canteen ambience	school_cafeteria	50	10	Freesound via Openverse	sonically_sound	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	https://freesound.org/people/sonically_sound/sounds/625112	https://cdn.freesound.org/previews/625/625112_12946258-hq.mp3
cathedral_ambience	Cathedral interior ambience	cathedral	26	40	Freesound via Openverse	Quistard	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	https://freesound.org/people/Quistard/sounds/174279	https://cdn.freesound.org/previews/174/174279_2378802-hq.mp3
gap_cathedral	Gap Cathedral interior	cathedral	52	20	Freesound via Openverse	Astounded	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	https://freesound.org/people/Astounded/sounds/483127	https://cdn.freesound.org/previews/483/483127_10201334-hq.mp3
bowling_alley_archive	Archival bowling alley ambience	bowling_alley	20	3	Freesound via Openverse	craigsmith	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	https://freesound.org/people/craigsmith/sounds/479964	https://cdn.freesound.org/previews/479/479964_2524442-hq.mp3
bowling_alley_room	Bowling alley room ambience	bowling_alley	54	10	Freesound via Openverse	dagray	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	https://freesound.org/people/dagray/sounds/667758	https://cdn.freesound.org/previews/667/667758_126076-hq.mp3
great_yarmouth_arcade	Great Yarmouth amusement arcade	amusement_arcade	24	10	Freesound via Openverse	Yarmonics	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	https://freesound.org/people/Yarmonics/sounds/447416	https://cdn.freesound.org/previews/447/447416_9109395-hq.mp3
kids_arcade_room	Amusement arcade game room	amusement_arcade	50	10	Freesound via Openverse	Doctor_Dreamchip	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	https://freesound.org/people/Doctor_Dreamchip/sounds/436507	https://cdn.freesound.org/previews/436/436507_8462944-hq.mp3
phoenix_casino_floor	Phoenix casino floor	casino_floor	26	20	Freesound via Openverse	mhtaylor67	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	https://freesound.org/people/mhtaylor67/sounds/277444	https://cdn.freesound.org/previews/277/277444_2258946-hq.mp3
